# Copyright (c) 2000, Red Hat, Inc.
# 
# This file is part of Source-Navigator.
# 
# Source-Navigator is free software; you can redistribute it and/or
# modify it under the terms of the GNU General Public License as published
# by the Free Software Foundation; either version 2, or (at your option)
# any later version.
# 
# Source-Navigator is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU
# General Public License for more details.
# 
# You should have received a copy of the GNU General Public License along
# with Source-Navigator; see the file COPYING.  If not, write to
# the Free Software Foundation, 59 Temple Place - Suite 330, Boston,
# MA 02111-1307, USA.
###############################################################################
#
# japanese.txt
#
# Copyright (C) 1998-2000 Red Hat, Inc.
#
# Description:
# This file maps short tokens which are used in the program source onto the
# strings that are actually displayed at run-time.
#
# The format is:
#
#	<token>,<value>
#
# A <value> cannot have embedded newlines.
#
# In some contexts, a left bracket indicates that the next character
# will be underlined in the interface; for instance this works for
# menu items.
#
# Entries in this file can appear in any order.
#
# Any changes to this file must be mirrored in other message catalogs.
# If you don't know the language, put an entry in with `???' as the
# "translation".  Then send email to the S-N list asking that someone
# update the entry.
#
# Part of the token name is sometimes used to indicate usage.
# Balloon help text tokens are usually suffixed with "INFO".
#
###############################################################################

EditPreferences,設定を表示([F)...
Format,フォーマット
Work,ワーク
Layout,レイアウト
Project,プロジェクト
Window,ウィンドウ
FilePermRead,読み出し
FilePermWrite,書き込み
FilePermUser,所有者
FilePermGroup,グループ
FilePermOther,その他ユーザー
KBytes,Kバイト
HierarchyLayout,階層レイアウト
CrossReferencing,クロスリファレンス
Database,データベース
Class,クラス
Name,名前
Parameters,パラメータ
Type,タイプ
Public,パブリック
Static,スタティック
Protected,プロテクト
Virtual,仮想
Private,プライベート
Related,関係している
Loading,ローディング中...
Untitled,(名称なし)
AllRightsReserved,登録済
Internationalization,国際化
Encoding,文字セット変換([G)
FileModifiedOutside,%s ファイルは修正されています。\n保存しますか?
FileModifiedOutsideTitle,ファイルの修正
WaitingForXref,クロスリファレンスの完了を待っています。
ProjectBatchBuilt,プロジェクトのビルドが完了しました。
ScanningFile,スキャン中: %s
Continue,継続
DefaultTitle,ファイルの選択
SelFileColHelp,ディレクトリかファイルを 1 つ以上選択してください。
Error,エラー
FileExists,ファイルは既に存在します。
File,ファイル
Filter,フィルタ:
Open,開く([O)...
Overwrite,上書き
PermRead,読み出し
PermWrite,書き込み
PermUser,ユーザ
PermGroup,グループ
PermOthers,その他
Print,印刷([P)...
Search,検索([S)
SQLFfor,前進([F)
SQLPcolor,色
SQLPcolormodell,色
SQLPcopies,部数
SQLPfile,ファイルへ
SQLPform,ページ フォーマット
SQLPformland,横向き
SQLPformnorm,縦向き
SQLPgrey,グレースケール
SQLPmono,モノクロ
SQLPname,印刷中
SQLPprintall,すべて
SQLPprintwidth,ページ幅
SQLPprintercmd,プリンタ コマンド
SQLPprintit,印刷
SQLPprintleftm,左の余白
SQLPprinttopm,上の余白
SQLPprintrange,範囲
SQLPprintheight,高さ
SQLPprintfactor,スケール([S) %
SQLPprintPageV,ページ 縦([V)
SQLPprintPageH,横([H)
SQLPPrintPageNum,ページ番号を印刷
SQLPPage,ページ
cancel,キャンセル
ok,OK

preference,設定([P)...
View,表示([V)
ViewINFO,選択したファイルを表示
PafCrossRef,クロスリファレンス([X)
StartXRefINFO,選択した項目に対してクロスリファレンスを起動
PafCrossToDetail,参照先詳細([D)
PafCrossByDetail,参照元詳細([E)
PafWrap,ワードラップ([W)
PafOverWrite,上書き([V)
ODDReportrightm,右の余白
ODDReportbotm,下の余白
PafExecFilter,フィルタ([F)...
Marked,選択
PrintFile,ファイルを印刷
Symbols,シンボル([S)
SymbolicTags,シンボリック タグ
Abrav,省略形([A)
ListSize,合計: %s 選択部分: %s
UnknownDir,ディレクトリ "%s" は存在しません。
ShowFNames,ファイル名([F)
ShowFNamesInfo,ファイル名を表示
Access,アクセス
Read,読み
Written,書き
Passed,引数渡し
Unused,未使用
DrawProjTree,プロジェクト ツリー描画中...
Statistics,統計
StatisticsINFO,選択したファイルの統計を表示
HTMLDoc,HTML ドキュメント([H)
HTMLDocAll,プロジェクト HTML ドキュメント([O)
Languages,言語
Extensions,拡張子
SelectAll,すべてを選択([A)
SelectOnly,"%s" だけを選択

Windows,ウィンドウ([W)
Root,ルート:
TakeRoot,現在のシンボルをルートにする([M)
LimitOpenProjError,このバージョンの Source-Navigator ではこのプロジェクトは開けません。
ChangeFontSize,フォント サイズを変更

Warning,警告
SelMrkFiles,マークしたファイルを選択
SelAllFiles,すべてのファイルを選択
DelMrkFiles,マークしたファイルを選択解除
DelAllFiles,すべてのファイルを選択解除

#Page formats
PrtPageFormat,ページ サイズ
PageFormatLetter,レター
PageFormatLegal,リーガル
PageFormatExecutive,エクゼクティブ
PageFormatA4,A4

Recursive,リカーシブ リスト

TreeButton,ソート (左クリック)、\nカラム フィルタ (右クリック)
TreeColumn,サイズ (左クリック)、\n行の分割 (右クリック)
CrossBoxes,ボックスを表示([B)
CrossBoxesINFO,エントリの周りに箱を表示
CrossAcceptParam,パラメータを比較([M)
CrossAcceptParamINFO,パラメータ リストと場所を比較 (C++)
CrossAcceptStatic,静的情報を比較([F)
CrossAcceptStaticINFO,参照関係を見つけるために静的情報を検索
CrossDispParam,パラメータ リストを表示([D)
CrossDispParamINFO,パラメータを表示
XReferences,参照

TreeBestFit,長さに合わせて調節([B)
TreeTruncate,切り捨て([T)
TreeViewSplitLines,分割した行を表示([V)
HoldWindow,ホールド
HoldWindowINFO,ウィンドウをホールド
IgnoredDirectories,無視されたディレクトリ
Indent,インデント([I)
Sort,ソート([S)
Toggle,表示/非表示([V)
SaveDiasabled,'保存' は無効化されました。
Parent,上へ移動
Reread,現在の表示をリフレッシュ
BackProcsRun,バックグラウンド処理を実行中のため操作を完了できません。
OwnerRead,所有者の読み出し権
OwnerWrite,所有者の書き込み権
GroupRead,グループの読み出し権
GroupWrite,グループの書き込み権
OthersRead,その他ユーザーの読み出し権
OthersWrite,その他ユーザーの書き込み権
DirReadWriteExec,読み出し可能、書き込み可能、実行可能である必要があります。
Permissions,パーミッション([M)
DatabaseLocked,データベースはロックされています。
DataBaseUnusable,データベース プロセスがクラッシュしました。 プロジェクトが破壊されている可能性があります。
DataBaseCrashed,データベース プロセスがクラッシュしました。 現在のプロジェクトは、\n再度パーサーにかける必要があります。
Mixer,フィルタ
MixerINFO,メンバー用にフィルタを設定
Or,OR
OrINFO,少なくとも 1 つのフラグが真です
And,AND
AndINFO,すべてのフラグが真でなければなりません
ClassAllINFO,すべてのフラグを設定
ClassNoneINFO,フィルタを無効化
ProjTitle,プロジェクト タイトル
PafCloseProj,プロジェクトを閉じる([C)...
XrefSortFile,高速クロスリファレンス更新
XrefSortFileInfo,クロスリファレンスの作成に高速更新を許可
ProjClone,プロジェクトを複製しますか?
Close,閉じる([C)

CreatProjFile,プロジェクト ファイルの作成
CloseProj,プロジェクトを閉じる([C)...
ProjectINFO,プロジェクト メニュー
LoadNewFiles,追加([A)...
LoadNewFilesINFO,プロジェクトに新規ファイルを追加
LoadDirectory,ディレクトリを追加...
LoadDirectoryINFO,一致したファイルをすべて指定ディレクトリから追加
ProjectEditor,プロジェクト エディタ([E)
ProjectEditorMenu,プロジェクト エディタ([E)...
EditSymbol,シンボルを編集
SaveChanges,変更を保存([S)
Quit,終了([Q)
NewProj,新規プロジェクト([N)...
DeleteProject,現在のプロジェクトを削除([D)
Grep,[Grep
Hide,非表示([H)
HideINFO,選択したファイルを非表示
Make,Make([M)
EditMakeCommand,Make コマンドを編集([A)...
Undefined,未定義
Functions,関数([F)
FunctionsDec,関数宣言([D)
Commons,共有([O)
CommonsVars,共有変数([B)
Classes,クラス([C)
Methods,メソッド([H)
Friends,フレンド([I)
MethodImps,メソッドの実装([P)
ClassVars,インスタンス変数([A)
Files,ファイル([S)
Typedefs,[Typedefs
ClassHierarchy,クラス階層([A)
ReadOnly,読み出し専用プロジェクト([E)
Enums,列挙([E)
Variables,変数([V)
Defines,マクロ([M)
FileBrowTitle,ファイル ブラウザ
ComBrowTitle,共有ブラウザ
ClassBrowTitle,クラス([C)
Browser,ブラウザ([B)
Browse,参照([B)
ClassBrowOverridden,上書き([O)
PafAbrOverride,ベース クラスのメンバーを上書き
PafAbrOverridden,サブクラスで上書き
